stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
29,159N,Bir El Bey,,36.71024971,10.3786432,,,0,
30,156K,Hammam Chat,,36.71360031,10.36940508,,,0,
31,158M,Tahar Sfar,,36.71752391,10.35967425,,,0,
32,155J,Arret Du Stade,,36.72344359,10.34820811,,,0,
33,154H,Hammam Lif,,36.72943925,10.3342066,,,0,
34,153G,Bou Kornine,,36.73479491,10.32393414,,,0,
35,151E,Ez-Zahra,,36.74680017,10.30704949,,,0,
36,146Z,Rades Mel,,36.76297691,10.28427308,,,0,
37,146Y,Rades,,36.76836038,10.26973502,,,0,
38,144X,Lycee Technique Rades,,36.76678685,10.26084366,,,0,
39,143W,Sidi Rezig,,36.76733357,10.24454539,,,0,
40,142T,Megrine,,36.76832703,10.23391826,,,0,
41,141S,Megrine Ryad,,36.77027429,10.22290038,,,0,
42,125Z,Depot Farhat Hached,,36.78402671,10.19191515,,,0,
